type,id,name,cp,year_10143,year_09019,year_10148_BISM,year_10148_DA,year_10148_ESD,year_10148_ID,year_10148_NC,year_09119_BISM,year_09119_IDA,year_09119_NC,year_09119_ESDA,year_09119_AIDA,year_09119_MA,year_09119_ORA,year_09119_SA,year_09119_CPA
,25503,Investment Analysis,6,,,,,,,,,,,,,,,,
,25556,The Financial System,6,,,,,,,,,,,,,,,,
,25557,Corporate Finance: Theory and Practice,6,,,,,,,,,,,,,,,,
,25558,Issues in Corporate Finance,6,,,,,,,,,,,,,,,,
,25573,Time Series Econometrics,6,,,,,,,,,,,,,,,,
,25574,Commercial Bank Management,6,,,,,,,,,,,,,,,,
,25575,Investment Bannking,6,,,,,,,,,,,,,,,,
,25579,Applied Portfolio Management,6,,,,,,,,,,,,,,,,
,25602,Ethics in Finance,6,,,,,,,,,,,,,,,,
,25620,Derivative Securities,6,,,,,,,,,,,,,,,,
,25622,Quantitative Business Analysis,6,,,,,,,,,,,,,,,,
,25999,Business Internship,6,,,,,,,,,,,,,,,,
,26100,Integrating Business Perspectives,6,,,,,,,,,,,,,,,,
,26134,Business Statistics,6,0,,,,,,,,,,,,,,,
,31016,Career Management for IT Professionals,6,,,,,,,,,,,,,,,,
,31274,Network Management,6,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
,31275,Mobile Networking,6,0,,0,0,0,0,4,0,0,6,0,0,0,0,0,0
,31277,Routing and Switching Essentials,6,0,,0,0,0,0,3,0,0,4,0,0,0,0,0,0
,31338,Network Servers,6,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0
,35363,Stochastic Models,6,,,,,,,,,,,,,,,,
,35383,Programming for Mathematical Modelling and Data Analysis,6,,,,,,,,,,,,,,,,
,37255,Forensic Statistics,6,,,,,,,,,,,,,,,,
,41061,IT Professional Experience 1,3,,,,,,,,,,,,,,,,
,41062,IT Professional Experience 2,3,,,,,,,,,,,,,,,,
,41063,IT Professional Experience 3,3,,,,,,,,,,,,,,,,
,41064,IT Professional Experience 4,3,,,,,,,,,,,,,,,,
,41065,IT Experience Reflection,6,,,,,,,,,,,,,,,,
,41071,Work Integrated Learning 1,6,,,,,,,,,,,,,,,,
,41072,Work Integrated Learning 2,6,,,,,,,,,,,,,,,,
,41073,Work Integrated Learning 3,6,,,,,,,,,,,,,,,,
,41074,Work Integrated Learning 4,6,,,,,,,,,,,,,,,,
,41890,Applying Network Security,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41891,Cloud Computing Infrastructure,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41903,Internet Science,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41905,Software Defined Networks,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42036,Cyber Security for Mobile Platform,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42037,IoT Secority,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,48033,Internet of Things,6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,48436,Digital Forensics,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,48450,Real-time Operating Systems,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,48730,Cyber Security,6,,,0,0,0,0,0,0,0,5,0,0,0,0,0,5
,59333,Advertising Strategies,6,,,,,,,,,,,,,,,,
,68315,Imaging Science,6,,,,,,,,,,,,,,,,
,68414,Advanced Mechanics,6,,,,,,,,,,,,,,,,
,70103,Ethics Law and Justice,6,,,,,,,,,,,,,,,,
,70104,Civil Practice,6,,,,,,,,,,,,,,,,
,70108,Public International Law,6,,,,,,,,,,,,,,,,
,70109,Evidence,6,,,,,,,,,,,,,,,,
,70114,Criminal Law and Procedure,8,,,,,,,,,,,,,,,,
,70211,Contracts,8,,,,,,,,,,,,,,,,
,70311,Torts,8,,,,,,,,,,,,,,,,
,70317,Real Property,8,,,,,,,,,,,,,,,,
,70327,Commercial Law,6,,,,,,,,,,,,,,,,
,70417,Corporate Law,8,,,,,,,,,,,,,,,,
,70517,Equity and Trusts,8,,,,,,,,,,,,,,,,
,70616,Australian Constitutional Law,8,,,,,,,,,,,,,,,,
,70617,Administrative Law,8,,,,,,,,,,,,,,,,
,71116,Remedies,6,,,,,,,,,,,,,,,,
,76002,Sports Law,6,,,,,,,,,,,,,,,,
,76003,Asian Law and Legal Systems,6,,,,,,,,,,,,,,,,
,76005,Islamic Law,6,,,,,,,,,,,,,,,,
,76007,International Human Rights Law,6,,,,,,,,,,,,,,,,
,76008,Jurisprudence,6,,,,,,,,,,,,,,,,
,76009,Introduction to Chinese Business Law,6,,,,,,,,,,,,,,,,
,76010,Disability and the Law,6,,,,,,,,,,,,,,,,
,76012,Criminology,6,,,,,,,,,,,,,,,,
,76013,World Trade Law,6,,,,,,,,,,,,,,,,
,76015,Labour Law,6,,,,,,,,,,,,,,,,
,76016,Advanced Revenue Law,6,,,,,,,,,,,,,,,,
,76019,Broadcasting and Telecommunications Regulation,6,,,,,,,,,,,,,,,,
,76020,Entertainment Law,6,,,,,,,,,,,,,,,,
,76022,Insurance Law,6,,,,,,,,,,,,,,,,
,76023,Deceptive Trade Practices and Product Liability,6,,,,,,,,,,,,,,,,
,76024,Environmental Law,6,,,,,,,,,,,,,,,,
,76025,International Organisations,6,,,,,,,,,,,,,,,,
,76027,Competition Law,6,,,,,,,,,,,,,,,,
,76030,Genetics and the Law,6,,,,,,,,,,,,,,,,
,76033,Animal Law and Policy in Australia,6,,,,,,,,,,,,,,,,
,76034,Law of Slavery and Human Trafficking,6,,,,,,,,,,,,,,,,
,76036,International Trade Law and the Environment,6,,,,,,,,,,,,,,,,
,76037,Advanced Criminal Law,6,,,,,,,,,,,,,,,,
,76038,Law and Mental Health,6,,,,,,,,,,,,,,,,
